Timestamp_UTC,AirTemp_C,GroundTemp_0cm_C,GroundTemp_13p9cm_C,GroundTemp_29p2cm_C,GroundTemp_45p1cm_C,IncomingShortwave_Wm2_Avg,LiquidPrecipitation_mm_Tot,RelativeHumidity_pct_HourEndSample,VaporPressure_hPa_Avg,BarometricPressure_hPa_Avg,WindSpeed_ms_Avg,WindGust10s_ms_HourEndSample,WindDirection_D1_WVT_deg,InvalidWind5min_Count,LightningStrikeCount_Tot,LightningDistance_km_Avg,SnowDepth_m,SnowDepth_isLowerBound,SnowReference_m,SnowReferenceUncertainty_m,SnowDistanceTempCorrected_m_HourEndSample,SnowQualityNumber_HourEndSample,QC_GroundTemp_0cm_C,QC_GroundTemp_13p9cm_C,QC_GroundTemp_29p2cm_C,QC_GroundTemp_45p1cm_C,QC_IncomingShortwave_Wm2_Avg,QC_LiquidPrecipitation_mm_Tot,QC_AirTemp_C,QC_LightningStrikeCount_Tot,QC_LightningDistance_km_Avg,QC_WindSpeed_ms_Avg,QC_VaporPressure_hPa_Avg,QC_BarometricPressure_hPa_Avg,QC_RelativeHumidity_pct_HourEndSample,QC_SnowDistanceTempCorrected_m_HourEndSample,QC_WindSpeed_S_WVT_ms,QC_WindDirection_D1_WVT_deg,QC_WindGust10s_ms_HourEndSample,QC_InvalidWind5min_Count,QC_HumiditySensorTemp_C_HourEndSample,QC_ClimaVUE_TiltNS_deg_Avg,QC_ClimaVUE_TiltWE_deg_Avg,QC_SnowDistanceRaw_m_HourEndSample,QC_SnowQualityNumber_HourEndSample,QC_SnowSensorInternalTemp_C_HourEndSample,QC_SnowSensorInternalRH_pct_HourEndSample,QC_SnowSensorPitch_deg_HourEndSample,QC_SnowSensorRoll_deg_HourEndSample,QC_SnowSensorSupply_V_HourEndSample,QC_SnowSensorResonantFrequency_kHz_HourEndSample,QC_SnowSensorAlertFlag_HourEndSample,QC_SnowDepthRaw_m,QC_SnowDepth_m,QC_SnowDepthFromTapeGround_m
2023-08-05 23:00:00,22.91,18.86,20.77,5.426,0.799,618.4,0,43.4,12.15,943.675,3.826,6.13,108,0,0,0,0.0589999999999999,0,1.257,0.0353669778324358,1.198,15,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-06 00:00:00,22.95,20.15,20.66,5.639,0.727,593.8,0,39.9,11.73333,943.3417,3.466,5.65,110.2,0,0,0,0,0,1.257,0.0353669778324358,1.264,126,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-06 01:00:00,23.06,19.75,19.19,5.706,0.711,536.3,0,41.8,11.59167,943.1833,3.658,6.11,101.6,0,0,0,0,0,1.257,0.0353669778324358,1.289,62,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-06 02:00:00,23.17,18.15,17.58,5.706,0.701,458.9,0,39.4,11.56667,942.9667,3.736,5.49,108.6,0,0,0,0,0,1.257,0.0353669778324358,1.285,45,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-06 03:00:00,22.99,18.23,16.79,5.841,0.703,401.2,0,35.4,9.858334,942.8333,3.975,5.66,88.4,0,0,0,0,0,1.257,0.0353669778324358,1.289,62,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-06 04:00:00,22.61,15.75,15.8,5.413,0.692,298.7,0,37.4,9.933333,942.8083,3.497,4.99,100.4,0,0,0,0,0,1.257,0.0353669778324358,1.265,60,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-06 05:00:00,21.77,13.99,14.79,5.126,0.683,205.5,0,41.5,9.883333,942.75,2.95,2.3,110.5,0,0,0,0,0,1.257,0.0353669778324358,1.266,72,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-06 06:00:00,19.6,12.78,13.37,4.958,0.683,103.8,0,51,10.61667,942.7583,1.591,2.24,94.3,0,0,0,0,0,1.257,0.0353669778324358,1.262,6,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-06 07:00:00,17.02,10.28,11.56,4.706,0.685,29.83,0,59.3,10.90833,942.6917,1.901,2.74,88.1,0,0,0,0,0,1.257,0.0353669778324358,1.261,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-06 08:00:00,14.01,8.53,9.91,4.422,0.682,3,0,67.8,10.35,942.5084,2.302,2.69,98.7,0,0,0,0,0,1.257,0.0353669778324358,1.258,10,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-06 09:00:00,13.56,7.543,9,4.228,0.682,0,0,61.2,9.816667,942.4,2.195,2.63,108.2,0,0,0,0,0,1.257,0.0353669778324358,1.257,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-06 10:00:00,13.19,7.49,8.73,4.105,0.689,0,0,63.9,9.508333,942.2667,2.152,2.25,116.8,0,0,0,0,0,1.257,0.0353669778324358,1.257,10,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-06 11:00:00,13.58,7.246,8.44,4.006,0.696,0,0,58.8,9.466666,942.0167,2.011,2.33,127.6,0,0,0,0.00099999999999989,0,1.257,0.0353669778324358,1.256,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-06 12:00:00,14.18,7.028,8.18,3.916,0.701,0,0,58.3,9.441667,941.875,1.909,2.06,124,0,0,0,0.0089999999999999,0,1.257,0.0353669778324358,1.248,26,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-06 13:00:00,14.95,6.863,7.991,3.829,0.706,0.833,0,52.5,9.4,941.6166,1.936,2.45,113.6,0,0,0,0.0119999999999998,0,1.257,0.0353669778324358,1.245,15,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-06 14:00:00,15.53,7.382,8.43,3.788,0.71,10.67,0,58.8,9.674999,941.3,1.915,3.28,112,0,0,0,0,0,1.257,0.0353669778324358,1.257,45,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-06 15:00:00,15.1,8.43,9.89,3.814,0.714,49.33,0,70.2,11.275,941.0333,1.96,3.93,134.9,0,0,0,0.0119999999999998,0,1.257,0.0353669778324358,1.245,45,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-06 16:00:00,15.91,10.61,11.81,4.031,0.723,96.6,0,69.5,12.63333,940.9916,3.071,5.11,120.3,0,0,0,0,0,1.257,0.0353669778324358,1.257,91,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-06 17:00:00,16.56,12.15,13.04,4.249,0.732,148.9,0,65.4,13.01667,940.725,3.17,6.81,120.8,0,0,0,0,0,1.257,0.0353669778324358,1.267,26,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-06 18:00:00,18.63,14.74,15.38,4.627,0.749,269.8,0,62,13.31667,940.425,4.462,7.62,99,0,0,0,0,0,1.257,0.0353669778324358,1.268,8,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-06 19:00:00,19.06,16.05,16.16,5.109,0.772,304,0,62.2,13.46667,940.2833,5.083,6.9,97.8,0,0,0,0,0,1.257,0.0353669778324358,1.271,6,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-06 20:00:00,19.68,18.57,18.28,5.424,0.784,367.2,0,58,13.65833,939.9167,5.055,7.42,100,0,0,0,0,0,1.257,0.0353669778324358,1.266,6,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-06 21:00:00,19.76,17.33,18.05,5.408,0.792,374.3,0,59.5,13.85,939.775,4.997,6.77,103,0,0,0,0,0,1.257,0.0353669778324358,1.268,8,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-06 22:00:00,20.33,17.23,18.04,5.531,0.8,372,0,50.5,12.78333,939.725,5.104,7.44,104.2,0,0,0,0,0,1.257,0.0353669778324358,1.269,13,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-06 23:00:00,20.72,18.34,19.02,5.77,0.813,392.9,0,50.2,11.90833,939.5833,5.15,6.83,101.8,0,0,0,0,0,1.257,0.0353669778324358,1.267,26,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-07 00:00:00,20.34,16.06,17.11,5.531,0.812,227.1,0,52.5,12.1,939.6417,3.673,4.38,100.2,0,0,0,0.002,0,1.257,0.0353669778324358,1.255,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-07 01:00:00,20.07,15.59,16.85,5.384,0.812,221.8,0,48.5,11.925,939.3833,2.938,3.31,108.5,0,0,0,0,0,1.257,0.0353669778324358,1.27,22,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-07 02:00:00,20.94,18.24,18.62,5.618,0.824,350.1,0,49,12.05833,938.875,2.883,5.58,111.5,0,0,0,0,0,1.257,0.0353669778324358,1.259,117,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-07 03:00:00,20.79,16.26,17.34,5.554,0.836,279.8,0,56.5,12.55,938.6,3.363,5.22,97.9,0,0,0,0,0,1.257,0.0353669778324358,1.257,19,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-07 04:00:00,19.88,15.46,16.8,5.453,0.838,190.2,0,60.6,13.53333,938.5917,3.084,4.14,107.3,0,0,0,0.002,0,1.257,0.0353669778324358,1.255,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-07 05:00:00,18.09,13.54,14.75,5.298,0.841,77.58,0,66.5,13.2,938.4833,3.126,4.35,109.1,0,0,0,0.00099999999999989,0,1.257,0.0353669778324358,1.256,17,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-07 06:00:00,16.17,12.17,13.43,5.134,0.843,57.75,0,72.9,12.75,938.5,2.37,2.75,106.9,0,0,0,0.00299999999999989,0,1.257,0.0353669778324358,1.254,13,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-07 07:00:00,14.88,11.51,12.45,5.015,0.846,8.83,0,69.8,12.19167,938.5583,2.383,3.26,97.7,0,0,0,0.00099999999999989,0,1.257,0.0353669778324358,1.256,22,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-07 08:00:00,14.07,10.22,11.12,4.857,0.849,1.083,0,69.3,11.34167,938.6667,2.279,3.2,93.9,0,0,0,0,0,1.257,0.0353669778324358,1.267,29,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-07 09:00:00,13.96,9.36,10.54,4.681,0.849,0,0,73.1,11.275,938.5667,2.155,2.49,100.7,0,0,0,0,0,1.257,0.0353669778324358,1.263,14,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-07 10:00:00,14.11,8.36,9.75,4.512,0.847,0,0,63.1,11.03333,938.475,1.422,1.4,135.9,0,0,0,0,0,1.257,0.0353669778324358,1.259,29,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-07 11:00:00,15.73,7.689,9.09,4.366,0.848,0,0,61.1,10.81667,938.4916,1.538,2.05,103.8,0,0,0,0,0,1.257,0.0353669778324358,1.268,29,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-07 12:00:00,14.25,7.674,8.93,4.267,0.85,0,0,67.2,10.69167,938.2667,1.922,2.36,114.5,0,0,0,0,0,1.257,0.0353669778324358,1.268,32,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-07 13:00:00,13.69,7.33,8.61,4.163,0.851,0.333,0,67.3,10.70833,938.2084,1.748,2.58,146.8,0,0,0,0.00299999999999989,0,1.257,0.0353669778324358,1.254,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-07 14:00:00,14.21,7.705,8.86,4.103,0.853,13.25,0,68.4,10.84167,938.2917,1.738,3.56,128.7,0,0,0,0,0,1.257,0.0353669778324358,1.266,39,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
