DateTime,Soil1Temp_C,AirTemp_C,Soil4Temp_C,Soil2Temp_C,Soil3Temp_C
12-Aug-2023 17:00:01,13.978,16.534,-0.004,10.663,2.37
12-Aug-2023 18:00:01,13.906,16.582,-0.032,8.668,0.989
12-Aug-2023 19:00:01,13.642,15.891,-0.032,8.095,0.907
12-Aug-2023 20:00:01,13.161,14.625,-0.032,7.695,0.88
12-Aug-2023 21:00:01,12.437,13.257,-0.004,7.318,0.852
12-Aug-2023 22:00:01,11.637,11.71,-0.004,6.914,0.88
12-Aug-2023 23:00:01,10.81,10.296,0.024,6.535,0.852
13-Aug-2023 00:00:01,10.1,10.443,-0.004,6.179,0.852
13-Aug-2023 01:00:01,9.485,9.015,0.024,5.872,0.825
13-Aug-2023 02:00:01,8.767,8.195,0.024,5.488,0.825
13-Aug-2023 03:00:01,8.07,7.745,0.024,5.128,0.797
13-Aug-2023 04:00:01,7.469,6.788,0.024,4.792,0.797
13-Aug-2023 05:00:01,6.94,6.94,-0.004,4.506,0.77
13-Aug-2023 06:00:01,6.509,7.116,-0.004,4.22,0.742
13-Aug-2023 07:00:01,6.255,6.99,-0.004,4.037,0.715
13-Aug-2023 08:00:01,6.23,8.045,-0.004,3.906,0.715
13-Aug-2023 09:00:01,6.737,10.565,-0.004,4.011,0.687
13-Aug-2023 10:00:01,8.22,15.151,-0.004,4.402,0.687
13-Aug-2023 11:00:01,10.1,16.225,-0.032,4.895,0.687
13-Aug-2023 12:00:01,11.856,17.772,-0.032,5.488,0.687
13-Aug-2023 13:00:01,13.666,20.055,-0.032,6.382,0.715
13-Aug-2023 14:00:01,14.026,12.703,-0.004,7.242,0.77
13-Aug-2023 15:00:01,13.185,12.268,-0.004,6.839,0.742
13-Aug-2023 16:00:01,12.364,11.053,-0.004,6.737,0.742
13-Aug-2023 17:00:01,12.001,12.268,-0.004,6.839,0.742
13-Aug-2023 18:00:01,12.243,13.088,-0.004,6.864,0.742
13-Aug-2023 19:00:01,12.195,12.001,-0.004,6.813,0.742
13-Aug-2023 20:00:01,11.832,13.305,-0.032,6.737,0.742
13-Aug-2023 21:00:01,11.37,11.589,-0.004,6.56,0.742
13-Aug-2023 22:00:01,10.932,10.467,-0.004,6.408,0.742
13-Aug-2023 23:00:01,10.345,9.534,-0.004,6.153,0.742
14-Aug-2023 00:00:01,9.657,8.319,0.024,5.872,0.742
14-Aug-2023 01:00:01,8.916,7.469,0.024,5.539,0.742
14-Aug-2023 02:00:01,8.444,8.07,-0.004,5.308,0.715
14-Aug-2023 03:00:01,8.07,7.895,-0.004,5.05,0.715
14-Aug-2023 04:00:01,7.444,6.661,0.024,4.688,0.715
14-Aug-2023 05:00:01,6.965,6.458,0.024,4.454,0.687
14-Aug-2023 06:00:01,6.509,6.179,0.024,4.194,0.687
14-Aug-2023 07:00:01,6.255,7.217,-0.004,4.037,0.66
14-Aug-2023 08:00:01,6.433,9.361,-0.004,4.037,0.66
14-Aug-2023 09:00:01,7.015,11.734,-0.032,4.141,0.66
14-Aug-2023 10:00:01,7.92,12.437,-0.032,4.298,0.632
14-Aug-2023 11:00:01,9.064,13.473,-0.032,4.61,0.632
14-Aug-2023 12:00:01,10.124,15.055,-0.032,4.895,0.632
14-Aug-2023 13:00:01,11.2,15.223,-0.004,5.488,0.66
14-Aug-2023 14:00:01,11.71,14.673,-0.004,5.821,0.66
14-Aug-2023 15:00:01,12.098,16.01,-0.032,6.153,0.66
14-Aug-2023 16:00:01,12.703,18.39,-0.032,6.331,0.66
14-Aug-2023 17:00:01,13.353,17.249,-0.032,6.839,0.66
14-Aug-2023 18:00:01,13.401,15.891,-0.032,6.889,0.687
14-Aug-2023 19:00:01,13.064,16.201,-0.032,7.091,0.715
14-Aug-2023 20:00:01,12.534,13.858,-0.004,7.142,0.715
14-Aug-2023 21:00:01,11.832,12.195,-0.004,6.965,0.742
14-Aug-2023 22:00:01,10.858,8.841,0.024,6.56,0.742
14-Aug-2023 23:00:01,9.657,5.668,0.024,6.051,0.742
15-Aug-2023 00:00:01,8.27,4.792,0.024,5.411,0.715
15-Aug-2023 01:00:01,7.066,3.932,0.024,4.869,0.687
15-Aug-2023 02:00:01,6.102,3.696,0.024,4.376,0.687
15-Aug-2023 03:00:01,5.154,3.063,0.024,3.854,0.66
15-Aug-2023 04:00:01,4.428,3.485,0.024,3.459,0.632
15-Aug-2023 05:00:01,3.801,3.168,0.024,3.063,0.632
15-Aug-2023 06:00:01,3.38,3.538,0.024,2.797,0.605
15-Aug-2023 07:00:01,3.327,4.74,0.024,2.664,0.577
15-Aug-2023 08:00:01,3.749,7.97,-0.004,2.717,0.605
15-Aug-2023 09:00:01,4.428,7.845,-0.004,2.77,0.577
15-Aug-2023 10:00:01,5.693,10.149,-0.004,3.116,0.55
15-Aug-2023 11:00:01,7.217,13.786,-0.004,3.564,0.577
15-Aug-2023 12:00:01,8.841,16.201,-0.004,4.011,0.577
15-Aug-2023 13:00:01,10.051,14.649,-0.004,4.636,0.577
15-Aug-2023 14:00:01,10.883,17.629,-0.032,5.205,0.577
15-Aug-2023 15:00:01,11.929,16.249,-0.004,5.565,0.577
15-Aug-2023 16:00:01,12.534,16.677,-0.032,6,0.577
15-Aug-2023 17:00:01,13.112,19.151,-0.032,6.509,0.605
15-Aug-2023 18:00:01,12.992,14.816,-0.004,6.661,0.632
15-Aug-2023 19:00:01,12.558,16.034,-0.032,6.839,0.632
15-Aug-2023 20:00:01,11.832,14.529,-0.004,6.864,0.632
15-Aug-2023 21:00:01,11.175,12.992,-0.004,6.661,0.66
15-Aug-2023 22:00:01,10.394,9.854,0.024,6.331,0.66
15-Aug-2023 23:00:01,9.361,7.995,0.024,5.872,0.66
16-Aug-2023 00:00:01,8.12,6.94,0.024,5.308,0.66
16-Aug-2023 01:00:01,6.965,6.56,0.024,4.792,0.66
16-Aug-2023 02:00:01,6.077,6.839,0.024,4.376,0.632
16-Aug-2023 03:00:01,5.642,6.611,0.024,4.089,0.632
16-Aug-2023 04:00:01,5.308,6.051,0.024,3.775,0.605
16-Aug-2023 05:00:01,4.74,6.179,0.024,3.406,0.605
16-Aug-2023 06:00:01,4.141,5.05,0.024,3.063,0.577
16-Aug-2023 07:00:01,3.932,8.12,-0.004,2.956,0.577
16-Aug-2023 08:00:01,4.246,8.12,-0.004,2.956,0.55
16-Aug-2023 09:00:01,5.205,13.305,-0.004,3.221,0.55
16-Aug-2023 10:00:01,6.23,13.69,-0.004,3.538,0.55
16-Aug-2023 11:00:01,7.77,15.963,-0.032,4.246,0.577
16-Aug-2023 12:00:01,9.632,18.794,-0.004,4.999,0.577
16-Aug-2023 13:00:01,10.712,18.533,-0.004,5.488,0.605
16-Aug-2023 14:00:01,12.243,19.032,-0.032,6.661,0.632
16-Aug-2023 15:00:01,13.233,16.677,-0.004,7.066,0.632
16-Aug-2023 16:00:01,13.353,17.558,-0.032,7.293,0.632
16-Aug-2023 17:00:01,12.63,14.026,-0.004,6.611,0.632
16-Aug-2023 18:00:01,12.389,13.233,-0.004,6.636,0.66
16-Aug-2023 19:00:01,12.389,15.843,-0.032,6.813,0.66
16-Aug-2023 20:00:01,12.195,14.697,-0.004,6.687,0.66
16-Aug-2023 21:00:01,11.662,12.025,0.024,6.636,0.687
16-Aug-2023 22:00:01,11.005,10.541,0.024,6.535,0.687
16-Aug-2023 23:00:01,10.296,9.114,0.024,6.585,1.208
17-Aug-2023 00:00:01,9.78,9.114,0.024,6.535,0.77
17-Aug-2023 01:00:01,9.46,8.841,0.024,6.255,0.715
17-Aug-2023 02:00:01,9.163,8.866,-0.004,6.331,0.467
17-Aug-2023 03:00:01,8.99,8.916,-0.004,6.23,0.522
17-Aug-2023 04:00:01,8.891,9.46,-0.004,5.975,0.55
17-Aug-2023 05:00:01,8.841,9.534,-0.004,5.847,0.605
17-Aug-2023 06:00:01,8.643,8.319,0.024,5.642,0.632
17-Aug-2023 07:00:01,8.319,8.12,0.024,5.385,0.632
17-Aug-2023 08:00:01,8.095,8.245,0.024,5.385,0.687
17-Aug-2023 09:00:01,7.92,8.245,0.024,5.231,0.687
17-Aug-2023 10:00:01,7.795,8.593,0.024,5.154,0.687
17-Aug-2023 11:00:01,7.695,8.369,0.024,5.102,0.632
17-Aug-2023 12:00:01,7.745,9.089,0.024,5.102,0.687
17-Aug-2023 13:00:01,7.995,9.089,0.024,5.128,0.687
17-Aug-2023 14:00:01,8.344,10.124,-0.004,5.128,0.687
17-Aug-2023 15:00:01,8.99,12.92,-0.004,5.462,0.687
17-Aug-2023 16:00:01,9.632,13.016,-0.004,5.693,0.66
17-Aug-2023 17:00:01,9.706,10.541,0.024,5.591,0.66
17-Aug-2023 18:00:01,9.534,9.632,0.024,5.437,0.66
17-Aug-2023 19:00:01,9.287,9.114,0.024,5.36,0.66
17-Aug-2023 20:00:01,8.916,8.045,0.024,5.231,0.632
17-Aug-2023 21:00:01,8.394,7.444,0.024,5.102,0.66
17-Aug-2023 22:00:01,7.895,6.965,0.024,4.947,0.632
17-Aug-2023 23:00:01,7.494,7.167,0.024,4.844,0.632
18-Aug-2023 00:00:01,7.167,7.192,0.024,4.688,0.605
18-Aug-2023 01:00:01,6.94,7.091,0.024,4.584,0.605
18-Aug-2023 02:00:01,6.712,6.99,0.024,4.48,0.605
18-Aug-2023 03:00:01,6.509,7.066,0.024,4.35,0.605
18-Aug-2023 04:00:01,6.331,6.813,0.024,4.22,0.577
18-Aug-2023 05:00:01,6.153,7.091,0.024,4.115,0.632
18-Aug-2023 06:00:01,6,7.091,0.024,4.037,0.577
18-Aug-2023 07:00:01,5.872,7.293,0.024,3.932,0.605
18-Aug-2023 08:00:01,5.847,7.72,0.024,3.958,0.605
18-Aug-2023 09:00:01,5.949,7.544,0.024,3.906,0.605
18-Aug-2023 10:00:01,6.026,7.87,0.024,3.827,0.605
18-Aug-2023 11:00:01,6.077,7.293,0.024,3.801,0.605
18-Aug-2023 12:00:01,6.153,7.494,0.024,3.854,0.632
18-Aug-2023 13:00:01,6.23,7.82,0.024,3.827,0.605
18-Aug-2023 14:00:01,6.281,7.945,0.024,3.775,0.577
18-Aug-2023 15:00:01,6.357,8.245,0.024,3.775,0.577
18-Aug-2023 16:00:01,6.509,8.767,0.024,3.854,0.605
18-Aug-2023 17:00:01,6.687,8.693,0.024,3.906,0.577
18-Aug-2023 18:00:01,6.813,8.643,0.024,3.932,0.55
18-Aug-2023 19:00:01,6.889,9.386,0.024,3.958,0.55
18-Aug-2023 20:00:01,6.889,8.668,0.024,3.958,0.55
18-Aug-2023 21:00:01,6.788,8.295,0.024,3.906,0.55
18-Aug-2023 22:00:01,6.687,8.568,0.024,3.906,0.55
18-Aug-2023 23:00:01,6.611,8.394,0.024,3.88,0.55
19-Aug-2023 00:00:01,6.535,8.742,0.024,3.854,0.522
19-Aug-2023 01:00:01,6.535,8.792,0.024,3.854,0.522
19-Aug-2023 02:00:01,6.535,8.618,0.024,3.88,0.522
19-Aug-2023 03:00:01,6.535,8.643,0.024,3.88,0.522
19-Aug-2023 04:00:01,6.509,8.319,0.024,3.854,0.522
19-Aug-2023 05:00:01,6.458,8.22,0.024,3.827,0.522
19-Aug-2023 06:00:01,6.433,8.02,0.024,3.854,0.522
19-Aug-2023 07:00:01,6.382,8.095,0.024,3.801,0.522
19-Aug-2023 08:00:01,6.433,8.22,0.024,3.801,0.522
19-Aug-2023 09:00:01,6.509,8.444,0.024,3.827,0.522
19-Aug-2023 10:00:01,6.763,9.04,0.024,3.932,0.522
19-Aug-2023 11:00:01,6.94,9.435,-0.004,4.037,0.522
19-Aug-2023 12:00:01,7.192,9.336,0.024,4.141,0.522
19-Aug-2023 13:00:01,7.343,10.075,0.024,4.168,0.522
19-Aug-2023 14:00:01,7.469,10.149,0.024,4.298,0.495
19-Aug-2023 15:00:01,7.469,9.706,-0.004,4.272,0.495
19-Aug-2023 16:00:01,7.318,9.682,-0.004,4.194,0.495
19-Aug-2023 17:00:01,7.242,9.336,-0.004,4.22,0.495
19-Aug-2023 18:00:01,7.167,9.509,0.024,4.168,0.495
19-Aug-2023 19:00:01,7.091,9.731,-0.004,4.168,0.495
19-Aug-2023 20:00:01,6.99,9.213,0.024,4.115,0.495
19-Aug-2023 21:00:01,6.839,8.668,0.024,4.141,0.495
19-Aug-2023 22:00:01,6.585,7.645,0.024,3.932,0.495
19-Aug-2023 23:00:01,6.23,7.519,0.024,3.827,0.495
20-Aug-2023 00:00:01,5.949,7.544,0.024,3.749,0.495
20-Aug-2023 01:00:01,5.745,7.419,0.024,3.696,0.495
20-Aug-2023 02:00:01,5.591,7.519,0.024,3.617,0.467
20-Aug-2023 03:00:01,5.437,6.788,0.024,3.512,0.467
20-Aug-2023 04:00:01,5.308,7.368,0.024,3.459,0.467
20-Aug-2023 05:00:01,5.154,6.889,0.024,3.38,0.467
20-Aug-2023 06:00:01,5.05,7.066,0.024,3.301,0.467
20-Aug-2023 07:00:01,5.024,7.041,0.024,3.248,0.467
20-Aug-2023 08:00:01,5.076,7.142,0.024,3.221,0.467
20-Aug-2023 09:00:01,5.231,7.745,0.024,3.274,0.467
20-Aug-2023 10:00:01,5.514,7.368,0.024,3.327,0.439
20-Aug-2023 11:00:01,5.745,8.17,0.024,3.354,0.439
20-Aug-2023 12:00:01,6.179,8.469,0.024,3.512,0.439
20-Aug-2023 13:00:01,6.636,8.916,0.024,3.643,0.439
20-Aug-2023 14:00:01,7.091,9.534,0.024,3.88,0.439
20-Aug-2023 15:00:01,7.494,8.817,-0.004,4.037,0.439
