DateTime,AirTemp_C,Soil1Temp_C,Soil2Temp_C,Soil3Temp_C,Soil4Temp_C
04-Aug-2023 16:00:00,24.992,18.343,5.385,2.61,0.218
04-Aug-2023 17:00:00,25.939,18.319,5.36,2.45,0.19
04-Aug-2023 18:00:00,25.89,17.391,5.334,2.423,0.19
04-Aug-2023 19:00:00,25.477,15.366,5.462,2.396,0.163
04-Aug-2023 20:00:00,25.065,14.002,5.257,2.37,0.19
04-Aug-2023 21:00:00,24.363,12.799,5.282,2.37,0.19
04-Aug-2023 22:00:00,21.819,11.224,5.308,2.37,0.19
04-Aug-2023 23:00:00,17.819,9.977,5.308,3.221,0.218
05-Aug-2023 00:00:00,15.509,8.841,5.308,3.195,0.218
05-Aug-2023 01:00:00,13.714,7.97,5.282,3.564,0.218
05-Aug-2023 02:00:00,14.457,7.519,5.257,3.643,0.218
05-Aug-2023 03:00:00,13.546,7.594,5.231,3.327,0.19
05-Aug-2023 04:00:00,13.064,7.268,5.179,3.485,0.218
05-Aug-2023 05:00:00,11.832,6.839,5.128,3.696,0.246
05-Aug-2023 06:00:00,11.005,6.56,5.076,3.696,0.246
05-Aug-2023 07:00:00,12.316,6.687,5.024,3.564,0.218
05-Aug-2023 08:00:00,16.773,8.27,4.999,3.591,0.19
05-Aug-2023 09:00:00,20.603,10.516,4.973,3.459,0.19
05-Aug-2023 10:00:00,22.465,11.904,4.921,3.591,0.19
05-Aug-2023 11:00:00,24.363,12.944,4.895,3.459,0.19
05-Aug-2023 12:00:00,25.695,14.792,4.869,3.327,0.19
05-Aug-2023 13:00:00,26.231,16.939,4.895,3.327,0.19
05-Aug-2023 14:00:00,26.353,19.175,4.921,3.274,0.19
05-Aug-2023 15:00:00,26.5,17.629,4.947,3.354,0.19
05-Aug-2023 16:00:00,27.431,18.985,5.024,3.301,0.19
05-Aug-2023 17:00:00,27.087,18.461,5.076,3.354,0.19
05-Aug-2023 18:00:00,26.378,17.391,5.179,3.564,0.19
05-Aug-2023 19:00:00,25.89,15.7,5.231,3.775,0.19
05-Aug-2023 20:00:00,24.774,14.409,5.308,3.801,0.19
05-Aug-2023 21:00:00,24.171,13.137,5.36,3.801,0.218
05-Aug-2023 22:00:00,22.465,11.953,5.385,3.722,0.218
05-Aug-2023 23:00:00,19.365,10.761,5.411,3.67,0.246
06-Aug-2023 00:00:00,19.579,10.492,5.411,3.801,0.218
06-Aug-2023 01:00:00,18.2,9.682,5.411,3.827,0.218
06-Aug-2023 02:00:00,15.008,8.568,5.385,3.854,0.246
06-Aug-2023 03:00:00,13.185,7.695,5.36,3.827,0.246
06-Aug-2023 04:00:00,12.968,7.393,5.334,3.854,0.246
06-Aug-2023 05:00:00,14.529,7.619,5.282,3.958,0.246
06-Aug-2023 06:00:00,17.486,8.17,5.257,3.906,0.246
06-Aug-2023 07:00:00,17.439,8.817,5.205,5.102,0.246
06-Aug-2023 08:00:00,18.652,10.124,5.179,5.05,0.218
06-Aug-2023 09:00:00,21.079,11.273,5.154,4.999,0.218
06-Aug-2023 10:00:00,23.4,12.63,5.128,4.947,0.218
06-Aug-2023 11:00:00,25.137,13.618,5.102,4.895,0.218
06-Aug-2023 12:00:00,25.477,14.505,5.128,4.869,0.218
06-Aug-2023 13:00:00,25.355,15.939,5.128,4.844,0.218
06-Aug-2023 14:00:00,24.363,15.891,5.128,4.844,0.246
06-Aug-2023 15:00:00,25.501,15.819,5.154,4.792,0.218
06-Aug-2023 16:00:00,26.061,16.582,5.205,4.792,0.246
06-Aug-2023 17:00:00,25.647,15.915,5.231,4.766,0.218
06-Aug-2023 18:00:00,25.186,15.318,5.282,4.766,0.246
06-Aug-2023 19:00:00,24.75,14.625,5.308,4.74,0.246
06-Aug-2023 20:00:00,24.026,14.649,5.334,4.766,0.246
06-Aug-2023 21:00:00,22.585,13.401,5.36,4.74,0.246
