DateTime,AirTemp_C,Soil1Temp_C,Soil2Temp_C,Soil3Temp_C,Soil4Temp_C,ShortwaveFlux_Wm2_Avg,Rain_mm_Tot,LightningStrikes_Tot,LightningDist_km_Avg,WindSpeed_ms_Avg,VaporPressure_mbar_Avg,Pressure_mbar_Avg,RelativeHumidity_pct,TCDT_C
05-Aug-2023 15:00:00,22.91,18.86,20.77,5.426,0.799,618.4,0,0,0,3.826,12.15,943.675,43.4,1.198
05-Aug-2023 16:00:00,22.95,20.15,20.66,5.639,0.727,593.8,0,0,0,3.466,11.73333,943.3417,39.9,1.264
05-Aug-2023 17:00:00,23.06,19.75,19.19,5.706,0.711,536.3,0,0,0,3.658,11.59167,943.1833,41.8,1.289
05-Aug-2023 18:00:00,23.17,18.15,17.58,5.706,0.701,458.9,0,0,0,3.736,11.56667,942.9667,39.4,1.285
05-Aug-2023 19:00:00,22.99,18.23,16.79,5.841,0.703,401.2,0,0,0,3.975,9.858334,942.8333,35.4,1.289
05-Aug-2023 20:00:00,22.61,15.75,15.8,5.413,0.692,298.7,0,0,0,3.497,9.933333,942.8083,37.4,1.265
05-Aug-2023 21:00:00,21.77,13.99,14.79,5.126,0.683,205.5,0,0,0,2.95,9.883333,942.75,41.5,1.266
05-Aug-2023 22:00:00,19.6,12.78,13.37,4.958,0.683,103.8,0,0,0,1.591,10.61667,942.7583,51,1.262
05-Aug-2023 23:00:00,17.02,10.28,11.56,4.706,0.685,29.83,0,0,0,1.901,10.90833,942.6917,59.3,1.261
06-Aug-2023 00:00:00,14.01,8.53,9.91,4.422,0.682,3,0,0,0,2.302,10.35,942.5084,67.8,1.258
06-Aug-2023 01:00:00,13.56,7.543,9,4.228,0.682,0,0,0,0,2.195,9.816667,942.4,61.2,1.257
06-Aug-2023 02:00:00,13.19,7.49,8.73,4.105,0.689,0,0,0,0,2.152,9.508333,942.2667,63.9,1.257
06-Aug-2023 03:00:00,13.58,7.246,8.44,4.006,0.696,0,0,0,0,2.011,9.466666,942.0167,58.8,1.256
06-Aug-2023 04:00:00,14.18,7.028,8.18,3.916,0.701,0,0,0,0,1.909,9.441667,941.875,58.3,1.248
06-Aug-2023 05:00:00,14.95,6.863,7.991,3.829,0.706,0.833,0,0,0,1.936,9.4,941.6166,52.5,1.245
06-Aug-2023 06:00:00,15.53,7.382,8.43,3.788,0.71,10.67,0,0,0,1.915,9.674999,941.3,58.8,1.257
06-Aug-2023 07:00:00,15.1,8.43,9.89,3.814,0.714,49.33,0,0,0,1.96,11.275,941.0333,70.2,1.245
06-Aug-2023 08:00:00,15.91,10.61,11.81,4.031,0.723,96.6,0,0,0,3.071,12.63333,940.9916,69.5,1.257
06-Aug-2023 09:00:00,16.56,12.15,13.04,4.249,0.732,148.9,0,0,0,3.17,13.01667,940.725,65.4,1.267
06-Aug-2023 10:00:00,18.63,14.74,15.38,4.627,0.749,269.8,0,0,0,4.462,13.31667,940.425,62,1.268
06-Aug-2023 11:00:00,19.06,16.05,16.16,5.109,0.772,304,0,0,0,5.083,13.46667,940.2833,62.2,1.271
06-Aug-2023 12:00:00,19.68,18.57,18.28,5.424,0.784,367.2,0,0,0,5.055,13.65833,939.9167,58,1.266
06-Aug-2023 13:00:00,19.76,17.33,18.05,5.408,0.792,374.3,0,0,0,4.997,13.85,939.775,59.5,1.268
06-Aug-2023 14:00:00,20.33,17.23,18.04,5.531,0.8,372,0,0,0,5.104,12.78333,939.725,50.5,1.269
06-Aug-2023 15:00:00,20.72,18.34,19.02,5.77,0.813,392.9,0,0,0,5.15,11.90833,939.5833,50.2,1.267
06-Aug-2023 16:00:00,20.34,16.06,17.11,5.531,0.812,227.1,0,0,0,3.673,12.1,939.6417,52.5,1.255
06-Aug-2023 17:00:00,20.07,15.59,16.85,5.384,0.812,221.8,0,0,0,2.938,11.925,939.3833,48.5,1.27
06-Aug-2023 18:00:00,20.94,18.24,18.62,5.618,0.824,350.1,0,0,0,2.883,12.05833,938.875,49,1.259
06-Aug-2023 19:00:00,20.79,16.26,17.34,5.554,0.836,279.8,0,0,0,3.363,12.55,938.6,56.5,1.257
06-Aug-2023 20:00:00,19.88,15.46,16.8,5.453,0.838,190.2,0,0,0,3.084,13.53333,938.5917,60.6,1.255
06-Aug-2023 21:00:00,18.09,13.54,14.75,5.298,0.841,77.58,0,0,0,3.126,13.2,938.4833,66.5,1.256
06-Aug-2023 22:00:00,16.17,12.17,13.43,5.134,0.843,57.75,0,0,0,2.37,12.75,938.5,72.9,1.254
06-Aug-2023 23:00:00,14.88,11.51,12.45,5.015,0.846,8.83,0,0,0,2.383,12.19167,938.5583,69.8,1.256
07-Aug-2023 00:00:00,14.07,10.22,11.12,4.857,0.849,1.083,0,0,0,2.279,11.34167,938.6667,69.3,1.267
07-Aug-2023 01:00:00,13.96,9.36,10.54,4.681,0.849,0,0,0,0,2.155,11.275,938.5667,73.1,1.263
07-Aug-2023 02:00:00,14.11,8.36,9.75,4.512,0.847,0,0,0,0,1.422,11.03333,938.475,63.1,1.259
07-Aug-2023 03:00:00,15.73,7.689,9.09,4.366,0.848,0,0,0,0,1.538,10.81667,938.4916,61.1,1.268
07-Aug-2023 04:00:00,14.25,7.674,8.93,4.267,0.85,0,0,0,0,1.922,10.69167,938.2667,67.2,1.268
07-Aug-2023 05:00:00,13.69,7.33,8.61,4.163,0.851,0.333,0,0,0,1.748,10.70833,938.2084,67.3,1.254
07-Aug-2023 06:00:00,14.21,7.705,8.86,4.103,0.853,13.25,0,0,0,1.738,10.84167,938.2917,68.4,1.266
07-Aug-2023 07:00:00,14.33,9.19,10.41,4.178,0.859,56.5,0,0,0,2.997,11.25833,938.1083,68.8,1.256
07-Aug-2023 08:00:00,15.31,11.61,12.16,4.389,0.868,123.9,0,0,0,3.273,12.15,938.0917,70.4,1.254
07-Aug-2023 09:00:00,16.85,11.91,13.39,4.465,0.872,197,0,0,0,2.966,12.95,938.1667,62.1,1.272
07-Aug-2023 10:00:00,18.58,13.21,14.83,4.567,0.879,264.3,0,0,0,2.224,13.23333,938.1667,60.8,1.279
07-Aug-2023 11:00:00,20.18,15.96,16.54,4.75,0.887,354,0,0,0,1.363,13.56667,938.075,55.9,1.282
07-Aug-2023 12:00:00,20.47,14.15,15.73,4.719,0.888,440,0,0,0,2.124,13.725,937.7333,56,1.282
07-Aug-2023 13:00:00,20.54,14.23,16.12,4.784,0.89,454.4,0,0,0,2.487,13.33333,937.6666,55.8,1.289
07-Aug-2023 14:00:00,20.74,14.44,16.32,4.908,0.894,457.9,0,0,0,3.024,13.4,937.3334,55.3,1.275
07-Aug-2023 15:00:00,20.75,13.99,15.89,4.959,0.899,354.3,0,0,0,2.952,12.71667,937.0667,51.1,1.289
07-Aug-2023 16:00:00,21,13.92,15.74,5.016,0.901,354.7,0,0,0,2.981,12.58333,936.7333,51.4,1.284
07-Aug-2023 17:00:00,20.83,13.88,15.48,5.025,0.902,296,0,0,0,3.322,12.975,935.9917,55.7,1.273
07-Aug-2023 18:00:00,20.67,13.53,15.2,5.036,0.904,238.5,0,0,0,3.4,13.66667,935.45,56,1.195
07-Aug-2023 19:00:00,19.98,12.55,14.38,4.931,0.904,93.1,0,0,0,2.683,13.03333,934.8917,55.7,1.193
07-Aug-2023 20:00:00,17.5,11.98,12.64,5.389,0.913,49,0,2,5.917,5.808,13.21667,934.8583,79,1.211
