Region,Station ID,Latitude (°),Longitude (°),Elevation (m),Record period,Air-sensor height (m),P1 installation position,P2-P4 offsets below P1 (cm)
"North Slope Coastal Plain", "DNSF15",69.579838,-148.670741,145.41, "2025-01-11 to 2025-09-23",0.94, "Within organic layer","10.5, 23.0, 34.5"
"North Slope Coastal Plain", "DNSF18",69.529292,-148.593929,162.18, "2024-07-23 to 2026-08-08",1.3, "Within organic layer","12.33, 24.67, 37.0"
"Brooks Range, northern foothills", "DBNF09",69.452173,-148.638054,227.28, "2023-08-03 to 2026-08-20",1, "Within organic layer","8.0, 21.0, 34.0"
"Brooks Range, northern foothills", "DBNF13",69.389001,-148.735198,291.92, "2023-08-03 to 2025-07-28",1.1, "Within organic layer","8.4, 19.6, 31.5"
"Brooks Range, southern foothills", "DBSF14",66.894138,-150.515111,357.81, "2023-08-05 to 2024-07-24",1.8, "Organic-layer surface","24.0, 48.0, 72.0"
"Brooks Range, southern foothills", "DBSF03",66.488259,-150.695732,610.4, "2023-08-05 to 2026-08-14",1.7, "Within organic layer","13.9, 29.2, 45.1"
"Brooks Range, southern foothills", "DBSF10",66.138147,-150.173456,244.6, "2024-07-25 to 2026-08-14",1.3, "Within organic layer","24.2, 47.0, 69.8"
"Yukon-Tanana Uplands", "DYTF07",65.819491,-149.571774,493.59, "2023-08-10 to 2026-08-12",1.7, "Organic-layer surface","16.7, 33.2, 49.4"
"Yukon-Tanana Uplands", "DYTF04",65.798635,-149.443200,335.06, "2023-08-09 to 2025-08-16",1.5, "Within organic layer","12.4, 26.8, 40.9"
"Yukon-Tanana Uplands", "DYTF05",65.789522,-149.395576,496.64, "2023-08-09 to 2026-08-10",1.6, "Within organic layer","18.7, 39.9, 59.8"
"Yukon-Tanana Uplands", "DYTF06",65.717295,-149.204995,235.96, "2023-08-11 to 2026-08-10",1.6, "Within organic layer","16.0, 31.9, 48.3"
"Yukon-Tanana Uplands", "DYTF11",65.417338,-145.586821,706.34, "2023-08-13 to 2026-08-06",1, "Dead-moss layer","18.9, 37.1, 55.3"
